uuid,acq,activations,batch_size,date,dim_basis,dim_h1,dim_h2,embedding,epochs,group,immediate_regret,incumbent,lr,model,n_init,n_iter,name,nn_aggregator,nn_training,num_mcmc,num_nn,num_steps,obj_func,seed,weight_decay,init_src,ard
006b978f,UCB,"['relu', 'relu', 'tanh']",1000.0,2018-09-11 08:32:51.923235,50.0,50.0,50.0,,1000.0,stratified,[271.27769172],[-146.91550932],0.01,dngo,20.0,200.0,006b978f--g-stratified-m-dngo-l2-0.0001-nnt-retrain-reset-nn-5-agg-average-init-20-k-200-f-jennrichsampson,average,retrain-reset,0.0,5.0,200.0,jennrichsampson,,0.0001,,False
01212611,UCB,"['relu', 'relu', 'tanh']",1000.0,2018-08-26 19:21:54.242793,50.0,50.0,50.0,,1000.0,funcs4,[0.00033744],[3.86244209],0.01,dngo,20.0,150.0,01212611--g-funcs4-m-dngo-l2-0.0001-nnt-retrain-nn-5-agg-average-init-20-k-150-f-hartmann3,average,retrain,0.0,5.0,150.0,hartmann3,,0.0001,,
017d2388,UCB,"['relu', 'relu', 'tanh']",1000.0,2018-08-26 17:33:32.276477,50.0,50.0,50.0,,1000.0,funcs2,[0.90808117],[2.41428684],0.01,dngo,20.0,150.0,017d2388--g-funcs2-m-dngo-l2-0.0001-nnt-fixed-nn-10-agg-average-init-20-k-150-f-hartmann6,average,fixed,0.0,10.0,10.0,hartmann6,,0.0001,,
0182c4ef,UCB,"['relu', 'relu', 'tanh']",1000.0,2018-08-26 17:33:36.440058,50.0,50.0,50.0,,1000.0,funcs2,[2.55137181e-06],[3.86277698],0.01,gp,20.0,150.0,0182c4ef--g-funcs2-m-gp-init-20-k-150-f-hartmann3,median,fixed,0.0,1.0,150.0,hartmann3,,0.0,,
02e2c35a,UCB,"['relu', 'relu', 'tanh']",1000.0,2018-08-26 18:42:51.858682,50.0,50.0,50.0,,1000.0,funcs1,[0.00298954],[-0.40087689],0.01,dngo,20.0,150.0,02e2c35a--g-funcs1-m-dngo-l2-0.0001-nnt-fixed-nn-5-mcmc-8-agg-average-init-20-k-150-f-branin,average,fixed,8.0,5.0,150.0,branin,,0.0001,,
02fd2624,UCB,"['relu', 'relu', 'tanh']",1000.0,2018-09-03 15:33:57.417184,50.0,50.0,50.0,,1000.0,embedding,[5.13784348e-10],[-0.04292634],0.01,gp,2.0,200.0,02fd2624--g-em-m-gp-init-2-k-200-f-sinone,median,fixed,0.0,1.0,200.0,sinone,,0.0,,False
030ae0ad,UCB,"['relu', 'relu', 'tanh']",1000.0,2018-08-27 14:44:48.746269,50.0,50.0,50.0,[0.0],1000.0,embedding,[3.05364234e-10],[-0.04292634],0.01,gp,2.0,200.0,030ae0ad--g-em-m-gp-init-2-k-200-em-0-f-sinone,median,fixed,0.0,1.0,200.0,sinone,,0.0,,
03214643,UCB,"['relu', 'relu', 'tanh']",40.0,2018-08-27 09:24:30.226533,50.0,50.0,50.0,,1000.0,minibatch,[0.00116783],[3.8616117],0.01,dngo,2.0,200.0,03214643--g-minibatch-m-dngo-bs-40-nnt-retrain-reset-init-2-k-200-f-hartmann3,median,retrain-reset,0.0,1.0,200.0,hartmann3,,0.0,,
03bc5037,UCB,"['relu', 'relu', 'tanh']",1000.0,2018-08-28 07:38:33.448679,50.0,50.0,50.0,"[0.0, 0.0]",1000.0,embedding,[1.86367485e-06],[-0.04292821],0.01,dngo,2.0,200.0,03bc5037--g-em-m-dngo-nnt-retrain-reset-nn-5-agg-average-init-2-k-200-em-0-0-f-sinone,average,retrain-reset,0.0,5.0,200.0,sinone,,0.0,,
040c04f4,UCB,"['relu', 'relu', 'tanh']",1000.0,2018-09-11 09:44:07.418550,50.0,50.0,50.0,,1000.0,stratified,[272.65719101],[-148.29500861],0.01,dngo,20.0,200.0,040c04f4--g-stratified-m-dngo-l2-0.0001-nnt-retrain-reset-init-20-k-200-f-jennrichsampson,median,retrain-reset,0.0,1.0,200.0,jennrichsampson,,0.0001,,False
