uuid,acq,activations,batch_size,date,dim_basis,dim_h1,dim_h2,embedding,epochs,group,immediate_regret,incumbent,lr,model,n_init,n_iter,name,nn_aggregator,nn_training,num_mcmc,num_nn,num_steps,obj_func,seed,weight_decay
0022e693,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 12:55:02.166395,50,50,50,,1000,funcs,[4.67230413e-06],[-4.67230413e-06],0.01,dngo,50,200,0022e693--g-funcs-s-1-m-dngo-nn-10-agg-average-init-50-k-200-f-levy,average,fixed,0,10,200,levy,1,0.0
01bc611a,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 20:44:08.852001,50,50,50,,1000,funcs,[-0.39919],[-0.39919],0.01,dngo,50,200,01bc611a--g-funcs-s-4-m-dngo-l2-0.0001-nnt-retrain-reset-nn-5-agg-average-init-50-k-200-f-branin,average,retrain-reset,0,5,200,branin,4,0.0001
029eba73,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 10:04:21.016277,50,50,50,,1000,funcs,[0.00014721],[3.86263233],0.01,dngo,50,200,029eba73--g-funcs-s-1-m-dngo-nnt-retrain-reset-init-50-k-200-f-hartmann3,median,retrain-reset,0,1,200,hartmann3,1,0.0
05cddd8f,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 15:07:05.153775,50,50,50,,1000,funcs,[-0.43950241],[-0.43950241],0.01,dngo,50,200,05cddd8f--g-funcs-s-4-m-dngo-l2-0.0001-nnt-fixed-nn-10-agg-average-init-50-k-200-f-branin,average,fixed,0,10,190,branin,4,0.0001
072b10ae,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 09:40:47.265945,50,50,50,,1000,funcs,[0.00125973],[-3.00125973],0.01,gp,50,200,072b10ae--g-funcs-s-1-m-gp-init-50-k-200-f-goldsteinprice,median,fixed,0,1,200,goldsteinprice,1,0.0
07817f28,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 13:12:09.377026,50,50,50,,1000,funcs,[-0.40117899],[-0.40117899],0.01,dngo,50,200,07817f28--g-funcs-s-2-m-dngo-l2-0.0001-nnt-retrain-init-50-k-200-f-branin,median,retrain,0,1,200,branin,2,0.0001
08149798,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 15:06:36.055273,50,50,50,,1000,funcs,[3.00187603],[3.00187603],0.01,dngo,50,200,08149798--g-funcs-s-3-m-dngo-l2-0.0001-nnt-retrain-nn-5-agg-average-init-50-k-200-f-hartmann6,average,retrain,0,5,90,hartmann6,3,0.0001
092e2050,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 11:48:37.899454,50,50,50,,1000,funcs,[-0.0148],[-0.0148],0.01,dngo,2,100,092e2050--g-funcs-s-1-f-svm_mnist-m-dngo-l2-0.0001-nnt-retrain-reset-init-2-k-100,median,retrain-reset,0,1,10,svm_mnist,1,0.0001
0a551201,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 09:37:13.943351,50,50,50,,1000,funcs,[1.15774767],[-1.15774767],0.01,dngo,50,200,0a551201--g-funcs-s-1-m-dngo-nnt-retrain-init-50-k-200-f-rosenbrock,median,retrain,0,1,200,rosenbrock,1,0.0
0aaddc89,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 16:52:56.520753,50,50,50,,1000,ensemble,[0.01038785],[-0.40827521],0.01,dngo,20,200,0aaddc89--g-ensemble-s-1-m-dngo-l2-0.0001-nnt-fixed-init-20-k-200-f-branin-nn-5-agg-median,median,fixed,0,5,200,branin,1,0.0001
