uuid,acq,batch_size,date,dim_basis,dim_h1,dim_h2,embedding,epochs,group,immediate_regret,incumbent,lr,model,n_init,n_iter,name,nn_aggregator,num_mcmc,num_nn,num_steps,obj_func,seed,weight_decay
0,,,,,,,,,,,,,,,,,,,,,,,
0025b941,UCB,80.0,2018-08-21 10:46:12.764828,50.0,50.0,50.0,,1000.0,minibatch,[1.10236055e-05],[-0.00185369],0.01,dngo,20.0,200.0,0025b941--g-minibatch-s-1-m-dngo-bs-80-init-20-k-200-f-sintwo,median,0.0,1.0,200.0,sintwo,1.0,0.0
02c864ed,UCB,1000.0,2018-08-21 11:23:44.746592,50.0,50.0,50.0,,1000.0,funcs,[0.57951807],[-3.57951807],0.01,dngo,20.0,200.0,02c864ed--g-funcs-s-1-m-dngo-init-20-k-200-f-goldsteinprice,median,0.0,1.0,200.0,goldsteinprice,1.0,0.0
06219107,UCB,1000.0,2018-08-21 15:30:36.498803,50.0,50.0,50.0,,1000.0,funcs,[0.02602233],[-3.02602233],0.01,gp,20.0,200.0,06219107--g-funcs-s-1-m-gp-init-20-k-200-f-goldsteinprice,median,0.0,1.0,200.0,goldsteinprice,1.0,0.0
06fe943e,UCB,1000.0,2018-08-21 11:48:49.230210,50.0,50.0,50.0,,1000.0,funcs,[0.20547038],[-0.20547038],0.01,dngo,20.0,200.0,06fe943e--g-funcs-s-1-m-dngo-nn-5-agg-median-init-20-k-200-f-rosenbrock,median,0.0,5.0,200.0,rosenbrock,1.0,0.0
09afd9fe,UCB,1000.0,2018-08-21 10:45:12.173160,50.0,50.0,50.0,,1000.0,epoch,[9.09344203e-08],[-9.09344203e-08],0.01,dngo,20.0,200.0,09afd9fe--g-epoch-s-1-m-dngo-init-20-k-200-e-1000-f-levy,median,0.0,1.0,200.0,levy,1.0,0.0
0ad63da0,UCB,1000.0,2018-08-21 11:33:42.124417,50.0,50.0,50.0,,1000.0,funcs,[3.23281457e-10],[-0.04292634],0.01,dngo,20.0,200.0,0ad63da0--g-funcs-s-1-m-dngo-init-20-k-200-f-sinone,median,0.0,1.0,200.0,sinone,1.0,0.0
0b906ec0,UCB,1000.0,2018-08-22 05:12:45.785571,50.0,50.0,50.0,,1000.0,funcs,[5.01037256e-08],[6.02074005],0.01,dngo,20.0,200.0,0b906ec0--g-funcs-s-1-m-dngo-mcmc-20-init-20-k-200-f-forrester,median,20.0,1.0,200.0,forrester,1.0,0.0
0bb4a1fc,UCB,1000.0,2018-08-21 14:47:02.350568,50.0,50.0,50.0,,1000.0,funcs,[2.57246423],[-5.57246423],0.01,dngo,20.0,200.0,0bb4a1fc--g-funcs-s-1-m-dngo-init-20-k-200-f-goldsteinprice,median,0.0,1.0,200.0,goldsteinprice,1.0,0.0
0c4ff431,UCB,1000.0,2018-08-21 18:39:20.954963,50.0,50.0,50.0,,1000.0,funcs,[0.0050031],[-0.00684577],0.01,dngo,20.0,200.0,0c4ff431--g-funcs-s-1-m-dngo-nn-10-agg-median-init-20-k-200-f-sintwo,median,0.0,10.0,200.0,sintwo,1.0,0.0
0d6d3e07,UCB,1000.0,2018-08-21 15:48:36.789060,50.0,50.0,50.0,,1000.0,funcs,[0.00022562],[-0.39811298],0.01,dngo,20.0,200.0,0d6d3e07--g-funcs-s-1-m-dngo-init-20-k-200-f-branin,median,0.0,1.0,200.0,branin,1.0,0.0
0db453f7,UCB,1000.0,2018-08-22 04:41:19.097309,50.0,50.0,50.0,,1000.0,funcs,[2.67400306],[-2.67400306],0.01,dngo,20.0,200.0,0db453f7--g-funcs-s-1-m-dngo-nn-5-agg-max-init-20-k-200-f-bohachevsky,max,0.0,5.0,200.0,bohachevsky,1.0,0.0
0e651e60,UCB,1000.0,2018-08-21 17:39:08.907234,50.0,50.0,50.0,,1000.0,funcs,[0.00053699],[1.03109143],0.01,dngo,20.0,200.0,0e651e60--g-funcs-s-1-m-dngo-nn-10-agg-median-init-20-k-200-f-camelback,median,0.0,10.0,200.0,camelback,1.0,0.0
117bfe9f,UCB,1000.0,2018-08-21 13:45:42.892170,50.0,50.0,50.0,,1000.0,funcs,[9.48057752e-07],[3.86277858],0.01,gp,20.0,200.0,117bfe9f--g-funcs-s-1-m-gp-init-20-k-200-f-hartmann3,median,0.0,1.0,200.0,hartmann3,1.0,0.0
11efcc9b,UCB,1000.0,2018-08-21 16:51:10.311069,50.0,50.0,50.0,,1000.0,highdim,[1396.02023995],[-1396.02023995],0.01,dngo,100.0,200.0,11efcc9b--g-highdim-s-1-m-dngo-init-100-mcmc-20-k-200-f-rosenbrock8D,median,20.0,1.0,180.0,rosenbrock8D,1.0,0.0
121b1985,UCB,1000.0,2018-08-21 11:38:10.933764,50.0,50.0,50.0,,1000.0,funcs,[8.00900953e-06],[1.03162041],0.01,dngo,20.0,200.0,121b1985--g-funcs-s-1-m-dngo-nn-5-agg-median-init-20-k-200-f-camelback,median,0.0,5.0,200.0,camelback,1.0,0.0
131cfac2,UCB,1000.0,2018-08-22 04:41:19.209149,50.0,50.0,50.0,,1000.0,funcs,[0.11370168],[3.20866633],0.01,dngo,20.0,200.0,131cfac2--g-funcs-s-1-m-dngo-mcmc-20-init-20-k-200-f-hartmann6,median,20.0,1.0,80.0,hartmann6,1.0,0.0
159b53f0,UCB,1000.0,2018-08-21 11:40:15.429439,50.0,50.0,50.0,,1000.0,funcs,[2.67400306],[-2.67400306],0.01,dngo,20.0,200.0,159b53f0--g-funcs-s-1-m-dngo-nn-5-agg-median-init-20-k-200-f-bohachevsky,median,0.0,5.0,200.0,bohachevsky,1.0,0.0
15ad1f47,UCB,1000.0,2018-08-21 23:08:09.201215,50.0,50.0,50.0,,1000.0,funcs,[1.43485405e-06],[-1.43485405e-06],0.01,dngo,20.0,200.0,15ad1f47--g-funcs-s-1-m-dngo-mcmc-20-init-20-k-200-f-levy,median,20.0,1.0,200.0,levy,1.0,0.0
164685bc,UCB,1000.0,2018-08-21 14:26:48.287500,50.0,50.0,50.0,,1000.0,funcs,[0.06710093],[3.25526708],0.01,dngo,20.0,200.0,164685bc--g-funcs-s-1-m-dngo-init-20-k-200-f-hartmann6,median,0.0,1.0,160.0,hartmann6,1.0,0.0
17ee4706,UCB,1000.0,2018-08-21 19:11:54.007509,50.0,50.0,50.0,,1000.0,funcs,[0.03504751],[3.2873205],0.01,dngo,20.0,200.0,17ee4706--g-funcs-s-1-m-dngo-nn-5-agg-median-init-20-k-200-f-hartmann6,median,0.0,5.0,170.0,hartmann6,1.0,0.0
18229580,UCB,1000.0,2018-08-21 16:45:34.082286,50.0,50.0,50.0,,1000.0,l2,[5.39121717e-05],[3.86272562],0.01,dngo,20.0,200.0,18229580--g-l2-s-1-m-dngo-init-20-k-200-l2-0.0-f-hartmann3,median,0.0,1.0,200.0,hartmann3,1.0,0.0
194713fa,UCB,1000.0,2018-08-21 12:31:57.914017,50.0,50.0,50.0,,1000.0,funcs,[0.0012756],[1.03035282],0.01,dngo,20.0,200.0,194713fa--g-funcs-s-1-m-dngo-mcmc-20-init-20-k-200-f-camelback,median,20.0,1.0,200.0,camelback,1.0,0.0
1b255ccd,UCB,1000.0,2018-08-21 19:38:22.874229,50.0,50.0,50.0,,1000.0,funcs,[0.44473654],[-0.44473654],0.01,dngo,20.0,200.0,1b255ccd--g-funcs-s-1-m-dngo-nn-5-agg-median-init-20-k-200-f-rosenbrock,median,0.0,5.0,200.0,rosenbrock,1.0,0.0
1dafd0aa,UCB,1000.0,2018-08-21 10:46:42.547130,50.0,50.0,50.0,,1000.0,funcs,[0.0012321],[-0.00307477],0.01,gp,20.0,200.0,1dafd0aa--g-funcs-s-1-m-gp-init-20-k-200-f-sintwo,median,0.0,1.0,200.0,sintwo,1.0,0.0
1e16d9b4,UCB,1000.0,2018-08-21 20:17:32.867993,50.0,50.0,50.0,,1000.0,funcs,[0.00145538],[1.03017304],0.01,dngo,20.0,200.0,1e16d9b4--g-funcs-s-1-m-dngo-nn-5-agg-max-init-20-k-200-f-camelback,max,0.0,5.0,200.0,camelback,1.0,0.0
1e2f2aa3,UCB,1000.0,2018-08-21 15:16:33.968845,50.0,50.0,50.0,,1000.0,funcs,[0.20048014],[3.12188787],0.01,gp,20.0,200.0,1e2f2aa3--g-funcs-s-1-m-gp-init-20-k-200-f-hartmann6,median,0.0,1.0,190.0,hartmann6,1.0,0.0
1ee3cedc,UCB,1000.0,2018-08-22 00:41:22.041090,50.0,50.0,50.0,,1000.0,funcs,[0.01995366],[3.30241435],0.01,dngo,20.0,200.0,1ee3cedc--g-funcs-s-1-m-dngo-nn-5-agg-median-init-20-k-200-f-hartmann6,median,0.0,5.0,160.0,hartmann6,1.0,0.0
1f850f71,UCB,1000.0,2018-08-21 10:45:42.082794,50.0,50.0,50.0,[0.0],1000.0,embedding,[0.05075352],[-0.09367986],0.01,dngo,20.0,200.0,1f850f71--g-em-s-1-m-dngo-init-20-nn-5-agg-max-k-200-em-0-f-sinone,max,0.0,5.0,200.0,sinone,1.0,0.0
205613d4,UCB,1000.0,2018-08-21 15:15:34.138739,50.0,50.0,50.0,,1000.0,funcs,[7.72020124e-07],[3.86277876],0.01,gp,20.0,200.0,205613d4--g-funcs-s-1-m-gp-init-20-k-200-f-hartmann3,median,0.0,1.0,200.0,hartmann3,1.0,0.0
205ff41a,UCB,1000.0,2018-08-21 14:20:18.994559,50.0,50.0,50.0,,1000.0,funcs,[0.00478376],[-0.00662643],0.01,gp,20.0,200.0,205ff41a--g-funcs-s-1-m-gp-init-20-k-200-f-sintwo,median,0.0,1.0,200.0,sintwo,1.0,0.0
21141355,UCB,1000.0,2018-08-22 01:26:15.056611,50.0,50.0,50.0,,1000.0,funcs,[1.62709662e-06],[-1.62709662e-06],0.01,dngo,20.0,200.0,21141355--g-funcs-s-1-m-dngo-nn-5-agg-median-init-20-k-200-f-levy,median,0.0,5.0,200.0,levy,1.0,0.0
245976cd,UCB,10.0,2018-08-21 10:46:12.180160,50.0,50.0,50.0,,1000.0,minibatch,[0.00279611],[-0.00463879],0.01,dngo,20.0,200.0,245976cd--g-minibatch-s-1-m-dngo-bs-10-init-20-k-200-f-sintwo,median,0.0,1.0,200.0,sintwo,1.0,0.0
25778faf,UCB,320.0,2018-08-21 10:46:12.324394,50.0,50.0,50.0,,1000.0,minibatch,[5.04049266e-05],[-0.00189308],0.01,dngo,20.0,200.0,25778faf--g-minibatch-s-1-m-dngo-bs-320-init-20-k-200-f-sintwo,median,0.0,1.0,200.0,sintwo,1.0,0.0
2680ef33,UCB,1000.0,2018-08-22 04:41:19.341121,50.0,50.0,50.0,,1000.0,funcs,[3.20413751e-10],[-0.04292634],0.01,dngo,20.0,200.0,2680ef33--g-funcs-s-1-m-dngo-nn-5-agg-max-init-20-k-200-f-sinone,max,0.0,5.0,200.0,sinone,1.0,0.0
26cc72d0,UCB,1000.0,2018-08-21 10:46:10.982763,50.0,50.0,50.0,,1000.0,ensemble_size,[0.00068791],[-0.39857527],0.01,dngo,20.0,200.0,26cc72d0--g-ensemble_size-s-1-m-dngo-init-20-k-200-f-branin-nn-15-agg-median,median,0.0,15.0,200.0,branin,1.0,0.0
27f94937,UCB,1000.0,2018-08-21 11:54:49.927656,50.0,50.0,50.0,,1000.0,funcs,[0.07786446],[3.24450355],0.01,dngo,20.0,200.0,27f94937--g-funcs-s-1-m-dngo-nn-5-agg-max-init-20-k-200-f-hartmann6,max,0.0,5.0,180.0,hartmann6,1.0,0.0
292423d4,UCB,1000.0,2018-08-21 23:47:18.981834,50.0,50.0,50.0,,1000.0,funcs,[0.00097739],[1.03065103],0.01,dngo,20.0,200.0,292423d4--g-funcs-s-1-m-dngo-nn-10-agg-median-init-20-k-200-f-camelback,median,0.0,10.0,200.0,camelback,1.0,0.0
299b7e3d,UCB,1000.0,2018-08-22 00:20:21.805370,50.0,50.0,50.0,,1000.0,funcs,[0.00322299],[-0.40111035],0.01,dngo,20.0,200.0,299b7e3d--g-funcs-s-1-m-dngo-nn-5-agg-median-init-20-k-200-f-branin,median,0.0,5.0,200.0,branin,1.0,0.0
2a4599ba,UCB,1000.0,2018-08-21 16:43:31.617908,50.0,50.0,50.0,,1000.0,l2,[7.21845174e-05],[3.86270735],0.01,dngo,20.0,200.0,2a4599ba--g-l2-s-1-m-dngo-init-20-k-200-l2-0.00001-f-hartmann3,median,0.0,1.0,200.0,hartmann3,1.0,1e-05
2b1b331d,UCB,1000.0,2018-08-21 15:14:04.979849,50.0,50.0,50.0,,1000.0,funcs,[2.12953401e-07],[-0.39788757],0.01,gp,20.0,200.0,2b1b331d--g-funcs-s-1-m-gp-init-20-k-200-f-branin,median,0.0,1.0,200.0,branin,1.0,0.0
2c9035c0,UCB,1000.0,2018-08-21 17:13:09.606683,50.0,50.0,50.0,,1000.0,funcs,[0.00022562],[-0.39811298],0.01,dngo,20.0,200.0,2c9035c0--g-funcs-s-1-m-dngo-nn-10-agg-median-init-20-k-200-f-branin,median,0.0,10.0,200.0,branin,1.0,0.0
